code,name,id
12.13.13.2024,Tombang Kaluang,adm_area_12_13_13_2024
12.13.13.2025,Huta Lobu,adm_area_12_13_13_2025
12.13.13.2026,Lubuk Samboa,adm_area_12_13_13_2026
12.13.13.2027,Jambur Baru,adm_area_12_13_13_2027
12.13.13.2028,Aek Baru Jae,adm_area_12_13_13_2028
12.13.13.2029,Aek Baru Julu,adm_area_12_13_13_2029
12.13.13.2030,Lubuk Bondar Panjang,adm_area_12_13_13_2030
12.13.13.2031,Tor Naincat,adm_area_12_13_13_2031
12.13.14,Lingga Bayu,adm_area_12_13_14
12.13.14.2001,Aek Garingging,adm_area_12_13_14_2001
12.13.14.2002,Aek Manyuruk,adm_area_12_13_14_2002
12.13.14.2003,Bandar Limabung,adm_area_12_13_14_2003
12.13.14.2006,Lancat,adm_area_12_13_14_2006
12.13.14.2010,Kampung Baru,adm_area_12_13_14_2010
12.13.14.2011,Lobung,adm_area_12_13_14_2011
12.13.14.2014,Pangkalan,adm_area_12_13_14_2014
12.13.14.2015,Perk. Simpang Gambir,adm_area_12_13_14_2015
12.13.14.2019,Sikumbu,adm_area_12_13_14_2019
12.13.14.2021,Simpang Bajole,adm_area_12_13_14_2021
12.13.14.2022,Simpang Duku,adm_area_12_13_14_2022
12.13.14.2023,Simpang Durian,adm_area_12_13_14_2023
12.13.14.1024,Simpang Gambir,adm_area_12_13_14_1024
12.13.14.2025,Simpang Koje,adm_area_12_13_14_2025
12.13.14.1028,Tapus,adm_area_12_13_14_1028
12.13.14.2029,Dalan Lidang,adm_area_12_13_14_2029
12.13.14.2031,Bonca Bayuon,adm_area_12_13_14_2031
12.13.14.2033,Padang Silojongan,adm_area_12_13_14_2033
12.13.14.2034,Perbatasan,adm_area_12_13_14_2034
12.13.14.2035,Tangsi Atas,adm_area_12_13_14_2035
12.13.15,Batahan,adm_area_12_13_15
12.13.15.2001,Banjar Aur,adm_area_12_13_15_2001
12.13.15.2003,Batahan I,adm_area_12_13_15_2003
12.13.15.2004,Batu Sondat,adm_area_12_13_15_2004
12.13.15.2005,Bintungan Bejangkar,adm_area_12_13_15_2005
12.13.15.2007,Kampung Kapas,adm_area_12_13_15_2007
12.13.15.2008,Kuala Batahan,adm_area_12_13_15_2008
12.13.15.2009,Kubangan Tompek,adm_area_12_13_15_2009
12.13.15.2010,Muara Pertemuan,adm_area_12_13_15_2010
12.13.15.1011,Pasar Baru Batahan,adm_area_12_13_15_1011
12.13.15.2012,Pasar Batahan,adm_area_12_13_15_2012
12.13.15.2013,Pulau Tamang,adm_area_12_13_15_2013
12.13.15.2014,Sari Kenanga Batahan,adm_area_12_13_15_2014
12.13.15.2019,Batahan II,adm_area_12_13_15_2019
12.13.15.2020,Batahan III,adm_area_12_13_15_2020
12.13.15.2021,Batahan IV,adm_area_12_13_15_2021
12.13.15.2022,Sinunukan VI,adm_area_12_13_15_2022
12.13.15.2023,Kampung Kapas I,adm_area_12_13_15_2023
12.13.15.2024,Kubangan Pandan Sari,adm_area_12_13_15_2024
12.13.16,Natal,adm_area_12_13_16
12.13.16.2001,Balimbing,adm_area_12_13_16_2001
12.13.16.2002,Bintuas,adm_area_12_13_16_2002
12.13.16.2003,Bonda Kase,adm_area_12_13_16_2003
12.13.16.2004,Buburan,adm_area_12_13_16_2004
12.13.16.2005,Kampung Sawah,adm_area_12_13_16_2005
12.13.16.2006,Panggautan,adm_area_12_13_16_2006
12.13.16.2007,Pardamean Baru,adm_area_12_13_16_2007
12.13.16.1008,Pasar II Natal,adm_area_12_13_16_1008
12.13.16.2009,Pasar III Natal,adm_area_12_13_16_2009
12.13.16.2010,Pasar V Natal,adm_area_12_13_16_2010
12.13.16.2011,Patiluban Hilir,adm_area_12_13_16_2011
12.13.16.2012,Patiluban Mudik,adm_area_12_13_16_2012
12.13.16.2013,Perkebunan Patiluban,adm_area_12_13_16_2013
12.13.16.2014,Rukun Jaya,adm_area_12_13_16_2014
12.13.16.2015,Setia Karya,adm_area_12_13_16_2015
12.13.16.2016,Sikara Kara,adm_area_12_13_16_2016
12.13.16.2017,Sikara Kara I,adm_area_12_13_16_2017
12.13.16.2018,Sikara Kara II,adm_area_12_13_16_2018
12.13.16.2019,Sikara Kara III,adm_area_12_13_16_2019
12.13.16.2020,Sikara Kara IV,adm_area_12_13_16_2020
12.13.16.2021,Sundutan Tigo,adm_area_12_13_16_2021
12.13.16.2022,Taluk,adm_area_12_13_16_2022
12.13.16.2023,Tegal Sari,adm_area_12_13_16_2023
12.13.16.2024,Tunas Karya,adm_area_12_13_16_2024
12.13.16.1025,Pasar I Natal,adm_area_12_13_16_1025
12.13.16.2026,Pasar VI Natal,adm_area_12_13_16_2026
12.13.16.2027,Sinunukan V,adm_area_12_13_16_2027
12.13.16.2028,Suka Maju,adm_area_12_13_16_2028
12.13.16.2029,Sasaran,adm_area_12_13_16_2029
12.13.16.2030,Kun-Kun,adm_area_12_13_16_2030
12.13.17,Muara Batang Gadis,adm_area_12_13_17
12.13.17.2001,Batu Mundom,adm_area_12_13_17_2001
12.13.17.2002,Hutaimbaru,adm_area_12_13_17_2002
12.13.17.2003,Lubuk Kapundung,adm_area_12_13_17_2003
12.13.17.2004,Manuncang,adm_area_12_13_17_2004
12.13.17.2005,Panunggulan,adm_area_12_13_17_2005
12.13.17.2006,Pasar Singkuang I,adm_area_12_13_17_2006
12.13.17.2007,Pasar Singkuang II,adm_area_12_13_17_2007
12.13.17.2008,Rantau Panjang,adm_area_12_13_17_2008
12.13.17.2009,Sikapas,adm_area_12_13_17_2009
12.13.17.2010,Tabuyung,adm_area_12_13_17_2010
12.13.17.2011,Tagilang Julu,adm_area_12_13_17_2011
12.13.17.2012,Sali Baru,adm_area_12_13_17_2012
12.13.17.2013,Lubuk Kapundung II,adm_area_12_13_17_2013
12.13.17.2014,Suka Makmur,adm_area_12_13_17_2014
12.13.18,Ranto Baek,adm_area_12_13_18
12.13.18.2001,Manisak,adm_area_12_13_18_2001
12.13.18.2002,Simpang Talap,adm_area_12_13_18_2002
12.13.18.2003,Sampuran,adm_area_12_13_18_2003
12.13.18.2004,Tandikek,adm_area_12_13_18_2004
12.13.18.2005,Gonting,adm_area_12_13_18_2005
12.13.18.2006,Bangun Saroha,adm_area_12_13_18_2006
12.13.18.2007,Huta Baringin,adm_area_12_13_18_2007
12.13.18.2008,Muara Bangko,adm_area_12_13_18_2008
